No,produk,review,rating,sumber
1,Vaseline Lotion Healthy Bright UV Extra Brightening,"Suka banget sama ini , bikin lembab di kulit dan lagi ini bikin kulit tampak lebih cerah . Wangi nya juga  harum . Ada kandungan uv nya juga  . Pokok nya suka banget pake ini . tidak nyesel deh pake ini",5,https://review.soco.id/product/body-lotion/19813-healthy-bright-body-lotion-uv-lightening
2,Vaseline Lotion Healthy Bright UV Extra Brightening,"lotion ini wangi, tidak lengket dan harganya juga tidak terjangkau.. kulitku jadi lembut dan terlindungi dari bahanya sinar matahari.... mudah di cari di minimarket",3,https://review.soco.id/product/body-lotion/19813-healthy-bright-body-lotion-uv-lightening
3,Vaseline Lotion Healthy Bright UV Extra Brightening,"body lotion ini dengan parfumnya yang khas, efektif mencerahkan kulitku. Kulitku jadi terlihat sehat, bersinar dan cerah tentunya. Untuk ukuran packagingnya beragam, ada yang ukuran travel size jadi ketika aku di luar ruangan, kulitku tetap terlindungi ",4,https://review.soco.id/product/body-lotion-body-serum/19813-lotion-healthy-bright-uv-extra-brightening?page=2
4,Vaseline Lotion Healthy Bright UV Extra Brightening,Yang menarik dari lotion vaseline ini karena udah ada spfnya wkwkwk jadi praktis tidak usah lagi pake sunscreen. Aku suka karena menyerap lumayan cepat dan tidak lengket,5,https://review.soco.id/product/body-lotion-body-serum/19813-lotion-healthy-bright-uv-extra-brightening?page=2
5,Vaseline Lotion Healthy Bright UV Extra Brightening,"Teksturnya yang padat, tidak lengket setelah di aplikasiin di kulit dan cepat merata di kulit. Harumnya lumayan tahan lama dan kalau pemakaian rajin dan rutin benar terlihat hasilnya mencerahkan kulit. Harganya sangat affordable dan melembabkan kulit aku yang kering",4,https://review.soco.id/product/body-lotion-body-serum/19813-lotion-healthy-bright-uv-extra-brightening?page=2
6,Vaseline Lotion Healthy Bright UV Extra Brightening,Benar benar tidak berpengaruh di aku. Katanya harus rajin rajin dipakai ulang. Tapi kadang aku lupa dan malas. Emang tidak ada yang benar-benar mencerahkan ya. Semua butuh proses. Tapi nanti aku bakal memakai lagi deh siapatau bisa cerah kulitku,1,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/healthy-white-uv-lightening-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=1
7,Vaseline Lotion Healthy Bright UV Extra Brightening,"tidak cocok! padahal aku mau pake ini waktu pagi dan yang coklat pas malam tapi tidak cocok kulit ku gatel gatel dan merah sampai takut aku, dan katanya itu reaksi alergi padahal aromanya enak, jadinya aku mesti cari produk vaseline yang lain untuk siang",1,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/healthy-white-uv-lightening-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=low_rating&page=2
8,Vaseline Lotion Healthy Bright UV Extra Brightening,"Sejujurnya aku lebih nyaman untuk sunscreen itu ada tulisan berapa spf dan ada pa+++ sehingga yakin ketahanannya untuk menangkal radikal bebas dari sinar UVB dan UVA. Tapi setelah dicoba untuk kegiatan outdoor yang tidak terlalu terik dia masih oke, tapi kalau matahari yang super terik, kulit masih bisa kemerahan dan perih. Untuk kelembaban cukup dan teksturnya oke dibersihkan juga oke.",2,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/healthy-white-uv-lightening-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=2
9,Vaseline Lotion Healthy Bright UV Extra Brightening,"Wanginya lumayan enak, halus aromanya, teksturnya lotion kental berwarna putih. Gampang ketika diaplikasikan, mudah meresap dan tidak lengket ya. Lotion ini bisa melembabkan kulitku, tapi kalau untuk mencerahkan dikulitku sepertinya agak lambat.",2,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/healthy-white-uv-lightening-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=21
10,Vaseline Lotion Healthy Bright UV Extra Brightening,"lotion ini jadi salah satu lotion favorit aku sih. Udah lama juga pakai, dan menurut aku cukup melembabkan. Kalo dipakai rutin setiap hari akan ada efek cerah sih di kulit. Cerah yaa bukan putih ",3,https://reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/healthy-white-uv-lightening-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=19
